,AGV,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps,Time_Steps,Conf,N_AGV
0,0,165,3,162,15570,175,11689,27626,BT1_A12,A12
1,1,255,3,252,13218,215,14372,28037,BT1_A12,A12
2,2,168,5,163,11003,236,15629,27125,BT1_A12,A12
3,3,264,3,261,12387,201,13214,26020,BT1_A12,A12
4,4,214,3,211,16027,145,9851,26186,BT1_A12,A12
5,5,142,6,136,16920,129,9207,26407,BT1_A12,A12
6,6,224,3,221,15434,149,10188,25939,BT1_A12,A12
7,7,131,1,130,17463,131,9021,26763,BT1_A12,A12
8,8,198,1,197,14611,159,11462,26405,BT1_A12,A12
9,9,167,3,164,15835,158,10894,27064,BT1_A12,A12
10,10,183,3,180,15931,150,10105,26353,BT1_A12,A12
11,11,106,4,102,18660,110,7246,26145,BT1_A12,A12
0,0,217,3,214,0,648,43139,44450,BT1_A3,A3
1,1,219,5,214,0,659,43696,45038,BT1_A3,A3
2,2,224,7,217,0,651,43229,44562,BT1_A3,A3
0,0,254,8,246,5959,316,21627,28248,BT1_A6,A6
1,1,398,8,390,5554,337,22749,29010,BT1_A6,A6
2,2,170,8,162,6129,322,21182,27994,BT1_A6,A6
3,3,304,8,296,7063,297,20440,28126,BT1_A6,A6
4,4,282,5,277,4584,368,23983,29331,BT1_A6,A6
5,5,221,5,216,5459,318,21565,27691,BT1_A6,A6
0,0,227,6,221,10337,238,16215,27052,BT1_A9,A9
1,1,147,7,140,12633,197,13332,26385,BT1_A9,A9
2,2,151,5,146,14144,183,11792,26327,BT1_A9,A9
3,3,220,3,217,12487,197,13833,26738,BT1_A9,A9
4,4,206,7,199,12721,198,13015,26160,BT1_A9,A9
5,5,175,3,172,10006,237,16426,26929,BT1_A9,A9
6,6,204,4,200,10989,218,15629,27078,BT1_A9,A9
7,7,209,4,205,11385,243,16244,28137,BT1_A9,A9
8,8,195,5,190,11513,247,15900,27930,BT1_A9,A9
0,0,231,53,178,9293,117,9414,19025,BT2_A12,A12
1,1,208,32,176,6666,209,12226,19379,BT2_A12,A12
2,2,357,46,311,6754,197,11576,18800,BT2_A12,A12
3,3,278,42,236,6351,144,12631,19345,BT2_A12,A12
4,4,140,46,94,12589,73,5977,18786,BT2_A12,A12
5,5,269,58,211,8205,209,10323,19047,BT2_A12,A12
6,6,207,77,130,10238,122,8512,19107,BT2_A12,A12
7,7,244,70,174,7341,168,10981,18768,BT2_A12,A12
8,8,192,63,129,11809,105,6795,18922,BT2_A12,A12
9,9,206,7,199,5113,144,13823,19248,BT2_A12,A12
10,10,354,49,305,3565,198,15254,19288,BT2_A12,A12
11,11,305,43,262,2456,272,16298,19357,BT2_A12,A12
0,0,192,19,173,4591,527,43157,48854,BT2_A3,A3
1,1,135,12,123,4131,648,43342,48809,BT2_A3,A3
2,2,208,16,192,3224,783,43794,48629,BT2_A3,A3
0,0,218,43,175,12246,239,17548,30362,BT2_A6,A6
1,1,179,39,140,6511,377,22985,30337,BT2_A6,A6
2,2,210,43,167,11287,302,18032,30015,BT2_A6,A6
3,3,269,30,239,3978,288,26104,30706,BT2_A6,A6
4,4,397,66,331,8734,271,21017,30401,BT2_A6,A6
5,5,261,27,234,3653,481,26085,30750,BT2_A6,A6
0,0,257,91,166,17638,170,10896,29010,BT2_A9,A9
1,1,221,15,206,699,401,28278,29800,BT2_A9,A9
2,2,339,57,282,8163,328,20619,29531,BT2_A9,A9
3,3,314,45,269,9882,218,19256,29644,BT2_A9,A9
4,4,119,15,104,18673,149,9780,28790,BT2_A9,A9
5,5,494,69,425,11896,287,16498,29088,BT2_A9,A9
6,6,283,67,216,14648,139,13912,28950,BT2_A9,A9
7,7,138,47,91,22747,98,6013,29048,BT2_A9,A9
8,8,318,103,215,20226,168,8084,28806,BT2_A9,A9
0,0,910,65,845,14,161,11411,11825,BT3_A12,A12
1,1,839,58,781,91,161,11279,11759,BT3_A12,A12
2,2,774,66,708,178,163,11196,11784,BT3_A12,A12
3,3,1011,69,942,107,164,11330,11846,BT3_A12,A12
4,4,719,74,645,89,166,11286,11799,BT3_A12,A12
5,5,841,118,723,148,165,11223,11834,BT3_A12,A12
6,6,874,75,799,50,164,11355,11824,BT3_A12,A12
7,7,862,71,791,34,163,11320,11771,BT3_A12,A12
8,8,643,72,571,73,161,11336,11820,BT3_A12,A12
9,9,771,74,697,67,162,11365,11848,BT3_A12,A12
10,10,751,82,669,120,166,11218,11766,BT3_A12,A12
11,11,1096,83,1013,39,162,11284,11748,BT3_A12,A12
0,0,679,42,637,0,655,43253,44608,BT3_A3,A3
1,1,545,33,512,0,656,43295,44642,BT3_A3,A3
2,2,886,66,820,0,647,43236,44599,BT3_A3,A3
0,0,907,62,845,0,326,22040,22762,BT3_A6,A6
1,1,1022,76,946,0,320,21997,22715,BT3_A6,A6
2,2,876,78,798,0,330,21950,22691,BT3_A6,A6
3,3,862,78,784,0,334,21964,22715,BT3_A6,A6
4,4,976,91,885,0,324,21942,22687,BT3_A6,A6
5,5,943,68,875,14,324,21940,22673,BT3_A6,A6
0,0,771,64,707,33,219,14817,15358,BT3_A9,A9
1,1,948,78,870,0,217,14884,15404,BT3_A9,A9
2,2,838,70,768,21,219,14847,15385,BT3_A9,A9
3,3,1032,84,948,41,220,14844,15421,BT3_A9,A9
4,4,961,75,886,0,214,14854,15363,BT3_A9,A9
5,5,993,80,913,4,224,14832,15373,BT3_A9,A9
6,6,968,56,912,0,212,14895,15380,BT3_A9,A9
7,7,795,63,732,17,218,14811,15334,BT3_A9,A9
8,8,766,51,715,10,215,14820,15316,BT3_A9,A9
